Centris no,Type,Date Listed,Status,Address,Size,Active price,Taxes,Old prices,Zoning,Coordinates,Description
16338746,Lot for sale,2023-06-20,Active,"Route 349, Saint-Alexis-des-Monts",53750 sqft,58000,NO,"0,00",Residential,46.4377011200--73.1450696100,"Situé à 1h/30 de Montréal et à environ 1h de Trois-Rivières, ce terrain boisé, prêt à construire attend votre projet. Situé en face du 971 Rte 349, sans voisin à l'arrière, ce terrain a une superficie de plus de 50,000'. Les installations électriques sont présentes en face du terrain. Appelez pour plus d'informations."
28206331,Lot for sale,2023-06-20,Active,"3806, Chemin Saint-Charles, Terrebonne (Lachenaie), Neighbourhood Carrefour des Fleurs",11239 sqft,499900,YES,"0,00",Residential,45.7009344300--73.5367663400,"Rare opportunity to build on the waterfront in TERREBONNE (Rivière des Mille-Îles).  -Over 11,000 square feet -No construction on left side margin -Planned site plan available -NAVIGABLE zone"
20722334,Lot for sale,2023-06-20,Active,"Avenue Gagné, Saint-Côme",85088 sqft,114000,YES,"0,00","Commercial, Recreational and tourism, Residential, Resort",46.2670664900--73.8321393300,Consult
24643918,Lot for sale,2023-06-20,Active,"225, Rue des Hirondelles, Val-d'Or, Neighbourhood Lac Blouin",16629 sqft,115000,YES,"0,00",Residential,48.1194569600--77.8000291700,"La phase 2 du Domaine des Deux Lacs démarre bientôt! Plusieurs magnifiques terrains situés du côté du Lac Blouin, avec tous les services d'égout et d'aqueduc. Ce nouveau développement ne restera pas sur le marché très longtemps. Faites vite et venez réserver le premier terrain de votre choix!"
11578094,Lot for sale,2023-06-20,Active,"Chemin des Scouts, Rivière-Rouge, Neighbourhood Marchand",94861 sqft,168900,YES,"0,00","Residential, Resort",46.3226434700--74.8519942700,"Beautiful large wooded waterfront lot on Lac McGale. The land is part of the new Forestia real estate project. Phase 1 features 22 lakefront lots, as well as a shared access to Lac Lacoste and private trails located on the site. Lac McGale is bordered by a dense mixed forest and is in a natural state. The site will benefit from a certain uniformity and the land will remain largely forested. Beautiful and peaceful site only minutes away from downtown Rivière-Rouge where you will find a grocery store, school, hospital, hardware store, pharmacy, restaurants and more. Lot no 3 on the plan."
16755641,Lot for sale,2023-06-20,Active,"32, Rue Horizon-Boisé, Baie-Saint-Paul",54520 sqft,157500,YES,"0,00",Residential,47.4568997500--70.5983567300,Phase 2 du projet Horizon-sur-Mer situé en montagne ( grand terrain boisé ). À quelques minutes du centre-ville et de tous les services. Magnifique développement avec différente vue panoramique sur les montagnes ou sur le fleuve St-Laurent. Venez choisir le votre! ( Photos aléatoires ).
23142901,Lot for sale,2023-06-20,Active,"197, Rue Papineau, Papineauville",117295 sqft,139000,YES,"0,00","Commercial, Residential",45.6162929000--75.0116523700,Consult
25474159,Lot for sale,2023-06-20,Active,"Montée des Bois-Ronds, Chertsey",51850 sqft,179700,NO,"0,00",Residential,46.1035381600--73.8277684400,Consult
22842961,Lot for sale,2023-06-20,Active,"Chemin du Lac-aux-Bois-Francs Est, Rivière-Rouge, Neighbourhood L'Annonciation",1822975 sqft,159000,YES,"0,00",Residential,46.3584183900--74.8760621800,Terrain de plus de 41.8 acres avec accès au lac Castor. La partie frontale étant zoné villégiature permettant la construction d'une résidence unifamiliale ou un projet intégé d'habitation. La partie arrière est zoné rural et offre différentes possibilités. Centris#22842961
25220834,Lot for sale,2023-06-20,Active,"Rue d'Oxford, Hudson, Neighbourhood West",42869 sqft,700000,YES,"0,00",Residential,45.4607995300--74.1732843900,"Build your dream home in Hudson's most prestigious development, Hudson's Valleys. 15 minutes from the island of Montreal and 30 minutes from Trudeau International Airport. Golf course community around The Falcon golf course with luxurious custom-built home to the needs of the owners. Contact listing broker for construction criteria."
16075659,Lot for sale,2023-06-20,Active,"Montée des Chevreuils, Chute-Saint-Philippe",121305 sqft,1.75,YES,"0,00",Residential,46.6401384700--75.2281970300,Great opportunity to purchase a beautiful lot to build your new home or cottage. Possibility of having a turnkey option with the builder also! Hurry these lots will not last! Private access to a lake inside the project in the Kiamika river. Possible financing by the owner
24224007,Lot for sale,2023-06-20,Active,"Chemin des Cerisiers, Notre-Dame-du-Laus",42902 sqft,49000,YES,"0,00",Residential,46.0581377200--75.6488487400,"Le terrain #4 de ce beau projet de lotissement vous offre une belle vue et un accès au lac Bigelow. À moins de 10 minutes du village de Notre-Dame-du-Laus, ce terrain boisé serait idéal pour y construire votre future demeure!"
26591635,Lot for sale,2023-06-20,Active,"21, Rue de la Coupe, Lévis (Les Chutes-de-la-Chaudière-Est), Neighbourhood Sainte-Hélène-de-Breakeyville",10333 sqft,240000,YES,"0,00",Residential,46.6675301100--71.2217156100,"Le rêve! Situé dans le secteur de la Seigneurie Du Golf, grand terrain prêt à construire dos au prestigieux Club De Golf La Tempête. Venez faire construire votre maison de rêve par Duréco Construction. Carte des terrains au www.dureco.ca."
28429147,Lot for sale,2023-06-20,Active,"Rue Benjamin, Danville",77191 sqft,104900,YES,"0,00",Residential,45.7518423100--72.0694569100,"À Danville au mont scotch Hill. Magnifique terrain boisé de 1.77 acres situées dans un secteur en développement, à seulement 10 minutes de l'autoroute 55 et 30 minutes de Drummondville, Victoriaville et de Sherbrooke. Si vous êtes à la recherche d'un terrain pour construire votre prochaine maison de rêve, ce terrain pourrait être parfait pour vous. Possibilité d'acheter une érablière de 19.1 acres à quelques mètres de ce terrain."
26452181,Lot for sale,2023-06-20,Active,"Rue de l'Abri, Lac-Sainte-Marie",21342 sqft,219000,YES,"0,00","Other, Residential, Resort",45.9444691300--75.8787446800,"Lot directly at the bottom of Mont Ste-Marie with the possibility of building up to 6 UNITS. 100% ready to build with municipal aqueduct and municipal sewer. Incredible investment opportunity. Short-term rental allowed in the area, several residential and touristic development projects to come. You can therefore build a cottage, a single-family home, a duplex, a triplex, 4, 5 or 6 unit! Extremely profitable after construction or with time. Contact us for more information on sales and rental prices in the area and for more informations on lots and properties still available. Xavier Charron : 819-962-7764 and Sophie Delage : 819-213-6844."
18851657,Lot for sale,2023-06-20,Active,"Côte des Tétras, Mont-Laurier, Neighbourhood Mont-Laurier",61100 sqft,30000,YES,"0,00",Residential,46.5304140700--75.4268547300,"Mont-Laurier. Terrain disponible pour construction de qualité dans un secteur haut de gamme. À proximité du Lac-des-Écorces (3 plan d'eau) et du ch des Perdrix, accès au lac notarié, proximité du parc pour la famille. La tranquillité est au RDV. Osez! Superbe! Visiter."
14643240,Lot for sale,2023-06-20,Active,"Rue de Montjay, Blainville, Neighbourhood East",8086 sqft,450000,YES,"0,00",Residential,45.6842857200--73.7979108500,"Bienvenue dans le prestigieux secteur de Chambéry, où les rêves deviennent réalité. Nous sommes fiers de vous présenter cette opportunité unique d'acheter un terrain prêt à construire, situé dans l'un des quartiers les plus recherchés du secteur. Un quartier écolo-chic qui propose des architectures contemporaines. Tous les services sont souterrains(déja en place). Saisissez votre chance !"
19053155,Lot for sale,2023-06-20,Active,"322, Rue du Cap Saint-Claude, Beaumont",60021 sqft,389000,NO,"0,00",Residential,46.8334492700--71.0489212100,"*Vue panoramique au fleuve*. Le plus beau terrain du développement Domaine Saint-Laurent! Un quartier recherché pour la beauté des maisons haut de gamme, développées par 2 contracteurs renommés pour leur savoir-faire: Construction Serge Pouliot et Construction Simon Breton. La configuration  du terrain est idéale pour une résidence de type sous-sol rez-de-jardin avec vue au fleuve. À 2 minutes de Lévis, à proximité de l'accès de l'autoroute 20, près du projet 3ème lien. À proximité d'une garderie, d'une école primaire et du beau parc de Vincennes avec piscine et patinoire publique. Profitez du charme de Beaumont et de la proximité au fleuve."
23322848,Lot for sale,2023-06-20,Active,"64, Carré des Paysannes, Bromont",5854 sqft,172000,YES,"0,00",Residential,45.3139515200--72.6636600500,"Terrain #48 pour auto-construction d'une résidence unifamiliale dans la phase 3 du projet Faubourg 1792. Avantageusement situé dans le coeur du village de Bromont, ce terrain vous permettra de construire la maison de vos rêves dans un projet à l'architecture intégrée."
10700067,Lot for sale,2023-06-20,Active,"Rue Michel, Stanbridge East",43572 sqft,135000,NO,"0,00",Residential,45.1162267100--72.9041177700,"This one acre plot of land, located in the charming village of Stanbridge-East, is an opportunity not to be missed. Despite the lack of sewer and water services, a percolation test report for an economical conventional system would be allowed and available, allowing for easy and cost-effective construction. The land is situated in a peaceful and highly sought-after neighborhood, offering a beautiful quality of life. Don't miss this unique opportunity to build your dream home in a gorgeous and tranquil location. Act fast before this opportunity disappears!"
15815631,Lot for sale,2023-06-20,Active,"191, 6e Avenue, Saint-Zotique",10285 sqft,309000,YES,"0,00",Residential,45.2570671900--74.2252205300,"Tout vérifications , test de sol , règlementations de construction sont à la responsabilisée de l'acheteur .  Maison de type cottage uniquement"
19297649,Lot for sale,2023-06-20,Active,"771G, Chemin des Rapides, Val-des-Monts, Neighbourhood Poltimore",55893 sqft,41900,YES,"0,00","Agricultural, Recreational and tourism, Residential, Resort",45.7292038000--75.5961776400,"Do not miss this unique opportunity in Val-des-Monts with access to the Lièvre River! For sale: exceptional land of approximately 5 192,6  m2, suitable for various projects. Enjoy absolute tranquility. Easy access to Gatineau and Ottawa. Unleash your creativity and make your dreams come true here. Contact us now for more information and to schedule an on-site visit. This chance only comes once! Contact me to receive a video filmed with a drone. marcantoineblais.com."
24058197,Lot for sale,2023-06-20,Active,"51, Rue de l'Oiselet, Lévis (Les Chutes-de-la-Chaudière-Est), Neighbourhood Sainte-Hélène-de-Breakeyville",7747 sqft,153000,NO,"0,00",Residential,46.6671213700--71.2235487700,"Lévis, secteur Breakeyville au golf la Tempête. Terrain de 7 747pi2."
11475825,Lot for sale,2023-06-20,Active,"Avenue du Pont Nord, Alma, Neighbourhood Alma",24100 sqft,15000,YES,"0,00",Residential,48.6173219400--71.6188318800,Terrains à proximité du village de St-Coeur-de-Marie et d'Alma. Les lots 5477789 et 5477790 doivent être vendus ensemble.
19782001,Lot for sale,2023-06-20,Active,"Chemin des Épicuriens, La Conception",20475 sqft,90000,YES,"0,00",Residential,46.1404195000--74.7091162400,"Lot #22 - Welcome to the Chic Shack project - Phase 1! Land development located in La Conception, privileged access to Lake Martin, all in a unique spot in the middle of nature, only 15 minutes from the ski slopes of Mont-Tremblant! Build your dream chalet in Chic Shack's signature refined style. A must see!"
11687306,Lot for sale,2023-06-20,Active,"Rue des Sapins, Sainte-Adèle, Neighbourhood Sainte-Adèle",37335 sqft,249000,NO,"0,00",Residential,45.9579130000--74.1641520000,"Magnifique terrain situé sur un site exceptionnel! Le terrain se situe tout près du terrain de Golf du Chanteclerc (entre le trou 8 et le trou 9 du parcours de golf). Une propriété était sise sur ce beau terrain qui a été incendié en 2019 donc les installations septique et le puit artésien sont déjà sur le terrain. L'électricité est bien sûr aussi en place alors il ne reste qu'à vous construire la maison de vos rêves !! Belles maisons avoisinantes, secteur de choix et facile d'accès aux commodités, restaurants , cinéma , plage du lac Rond, piste de ski de randonnée et sentiers à distance de marche.. Bref Le paradis !"
26264726,Lot for sale,2023-06-20,Active,"Grande Ligne, Saint-Raymond",59266 sqft,85000,NO,"0,00",Residential,46.8794392600--71.7126214600,"Ce superbe terrain se trouve au pied de la grande côte du Lac Sergent. Il est traversé par un charmant ruisseau qui ajoute une touche de tranquillité et de beauté naturelle. L'implantation d'un plan de 60X30 a été réalisée, offrant un espace idéal pour construire votre maison de rêve. Le plan de la maison est aussi disponible. De plus, le permis pour l'entrée a été émis. Que vous souhaitiez profiter des paysages magnifiques, vous détendre au son apaisant du ruisseau ou vous aventurer dans les environs pittoresques en empruntant les sentiers de motoneige et la piste cyclable, ce terrain offre un cadre parfait pour créer votre petit domaine."
13470987,Lot for sale,2023-06-20,Active,"boulevard Gérard-D.-Levesque Ouest, Paspébiac",214209 sqft,50000,NO,"0,00",Residential,48.0267935700--65.2728170800,"Are you looking for a large land of land for a real estate project or simply to build your dream home? This land of over 200,000 square feet for sale in Paspébiac is exactly what you need. With its generous surface area, this land offers numerous development possibilities. Whether you want to build a single-family home, a vacation home, or a real estate development project, this land will allow you to realize your real estate project! This land represents an excellent investment! Don't wait, your new life awaits you!"
28302174,Lot for sale,2023-06-20,Active,"Route du Long-Sault, Saint-André-d'Argenteuil",30244 sqft,114900,NO,"0,00",Residential,45.5616194200--74.3661105600,Terrain principalement non inondable de plus de 30 000 pieds carrés sur le bord de la Rivière des Outaouais. Le terrain est en pente et surélevé par rapport au niveau de l'eau. À quelques minutes du village de Saint-André d'Argenteuil. À noter que le règlement de zonage ne nous permet pas actuellement la construction d'un bâtiment.
23462464,Lot for sale,2023-06-20,Active,"Chemin des Randonneurs, Saint-Pierre-de-Lamy",43917 sqft,18000,NO,"0,00","Residential, Resort",47.7673107900--68.9840126000,"Bail de villégiature pour un terrain de 4080 m², en montagne, près du Lac Sload. Droit de construction pour une habitation autonome. Endroit idéal pour les randonnées pédestres, la chasse et la pêche. Non déneigé en hiver, aucun service d'électricité, la vraie nature !"
15065144,Lot for sale,2023-06-20,Active,"Rue du Domaine, Saint-Côme",40202 sqft,80400,NO,"0,00","Commercial, Recreational and tourism, Residential, Resort",46.2804214100--73.8505838600,"SHORT TERM RENTALS ALLOWED. - Beautiful wooded lot with a breathtaking view of the wild mountains of the region. Close to the village of Saint-Côme and all services. Saint-Côme offers a full range of winter and summer activities, as well as several festivals and a popular ski resort. There are many trails available for walking, snowshoeing and cross-country skiing in summer and winter. Invest now! For more information, visit www.domainevalnature.info"
22177221,Land for sale,2023-06-20,Active,"Rue Principale, Petite-Rivière-Saint-François",39299 sqft,79900,NO,"0,00",Residential,47.3693090000--70.5982660000,"Situé sur la rue Principale à Petite-Rivière-Saint-François, ce terrain offre la possibilité d'une vue sur le Fleuve ( Servitude de prospect) ainsi que la location touristique à court terme. Un investissement qui pourrait profiter dans les années à venir! À voir!"
27396873,Lot for sale,2023-06-20,Active,"209, Rue Paradis, Rosemère",8376 sqft,499900,YES,"0,00",Residential,45.6445040300--73.7835712200,"Beautiful lot surrounded by mature trees. Located next to all the services : arena, library, schools, parcs, grocery store and more...Sold with Architectural plans and building permit. Taxes are being revised by the city due to the demolition of the pre-existing house"
15375042,Lot for sale,2023-06-20,Active,"Chemin Caroline, Saint-Michel-des-Saints",41810 sqft,125000,NO,"0,00","Residential, Resort",46.7111786300--73.7815915600,Consult
10634376,Lot for sale,2023-06-20,Active,"Rue des Huards, Saint-Damien",81111 sqft,299999,YES,"0,00",Residential,46.2853782300--73.5342358400,"Terrain niché à flanc de montagne avec vue exceptionnelle sur le lac Noir de Saint-Jean-de-Matha et accès au lac. Situé à proximité de toutes les commodités et des services des municipalités de Saint-Jean-de-Matha et de Saint-Damien.   Offrez-vous un lopin de montagne où tout est à votre portée: produits du terroir, gastronomie, sites d'intérêt culturel, randonnée pédestre, glissades et club de golf (un des plus beaux au Québec). À seulement 75 min de Montréal! *Voir addenda pour conditions et exigences du vendeur. Terrain #14"
25618691,Lot for sale,2023-06-20,Active,"Chemin du Roy, Deschambault-Grondines",Residential,70000,NO,"0,00",Residential,46.5945731000--72.0604515900,"Réaliser votre projet, terrain plat situé dans la belle municipalité de Grondines. Route touristique reconnu pour ses parcours de vélo avec le fleuve à proximité. Superficie à venir, prêt à construire."
16910628,Lot for sale,2023-06-20,Active,"10, Montée du Belvédère, La Pêche, Neighbourhood Alcove",47652 sqft,89000,YES,"0,00",Residential,45.7032282900--75.9606313700,"Lot #3 Looking for a place to call home that's close to nature, but still close to all the amenities you could ask for? These beautiful, wooded one-acre lots in Lascelles, QC are just 10 minutes away from Wakefield, Masham, and Lac Philippe. Enjoy the all-day sun with South-facing exposure, brand-new hydro service, excellent cell and internet service (fibe), and all within walking distance from La Pêche General Store in Lascelles. Live, work, and play all within 40 minutes of downtown Ottawa. www.foretdeserables.ca"
27593767,Lot for sale,2023-06-20,Active,"Chemin du Grand-Brûlé, Notre-Dame-du-Laus",136572 sqft,60000,YES,"0,00",Residential,46.1367066200--75.6400381500,"Magnifique terrain de 12688 mc, situé près du Parc régional du Poisson Blanc, c'est une multitudes d'activités tout au long de l'année. Véritable site d'évasion, on vous propose du canot-camping sauvage sur les îles, microrefuges, escalade, raquette, halte sur les îles, location d'embarcations et randonnée.  Avec ses plages de sable, son eau claire et ses points de vue surplombant l'archipel, ce territoire ne ressemble à aucun autre, piste de motoneige a proximité, havre de paix, près des services, 1,20 de Gatineau, possibilité de financement avec le propriétair2"
22768307,Lot for sale,2023-06-20,Active,"Route 155, Trois-Rives",51726 sqft,44900,YES,"0,00",Residential,46.9247864100--72.9067268400,"Terrain Boisé de 51700 pieds carrés. Ce Terrain est le #7 d'un développement de 24 terrains en 2 phases. Ce développement est situé dans un secteur boisé  a proximité du Km 50 de la route 155 a Trois-Rives. ( Terrain voisin de l'adresse 4180 route 155, Trois-Rives)  Il est possible d'accéder à la rivière St-Maurice par une descente commune à bateau a quelques minutes du terrain.  Chasse, pêche, rafting, vélo montagne, sentiers de vtt et de motoneige balisée sont également à proximité. Je vous invite a consulter l'ADDENDA pour plus de détail."
21584794,Lot for sale,2023-06-20,Active,"Rue Notre-Dame, Saint-Pie",8467 sqft,275000,YES,"0,00","Commercial, Residential",45.5019843500--72.9084475500,"Terrain de 8 467 pieds carrés idéalement situé au coin de rues passantes. Avec une entrée d'eau existante et probablement un égout déjà installé, ce terrain offre des infrastructures en façade pour faciliter vos projets. Une partie du terrain est déjà asphaltée, prête à accueillir un futur stationnement. Avec une préparation complète, ce terrain est prêt à 100% pour concrétiser vos idées et réaliser vos projets (vérifications à effectuer auprès de la municipalité par l'acheteur). Ne manquez pas cette opportunité unique d'investir dans un emplacement stratégique offrant de nombreuses possibilités!!"
26030283,Lot for sale,2023-06-20,Active,"Rue Labrie, Cap-Chat",16147 sqft,69000,NO,"0,00",Residential,49.0987083700--66.6581138000,Voir visite aérienne
17761078,Lot for sale,2023-06-20,Active,"boulevard Saint-Michel, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Rosemont North",2600 sqft,399000,NO,"0,00",Residential,45.5565858500--73.5906414200,"An ideal and unique site, 2 lots for the construction of a multiplex max. 2 floors 3 apartments. For projects for more than 3  apartments contact the City for a derogation. Located near schools, Beaubien Park, a short distance from Saint-Michel metro. ****Both lots must be purchased together"
27922368,Lot for sale,2023-06-20,Active,"Chemin du Lac-Quenouille, Val-des-Lacs",55315 sqft,59900,NO,"0,00",Residential,46.1932161000--74.3852597700,"Situé en pleine nature, mais tout près des activités sportives que peut offrir la municipalité de Val-des-Lacs, terrain boisé et plat.  Le Centre de Plein Air de  l'U.Q.A.M. se trouve à proximité.  Pour les amateurs de plein air ou tout simplement pour profiter du calme et de la nature."
10075628,Lot for sale,2023-06-20,Active,"1091Z, Rue Béique, Mont-Saint-Hilaire",131613 sqft,1550000,NO,"0,00",Residential,45.5380257600--73.1621626600,Immense terrain adossé au Centre de la Nature du Mont-Saint-Hilaire. Vue panoramique de la vallée et de Montréal. Site de rêve!
22415078,Lot for sale,2023-06-20,Active,"Chemin du Bord-de-l'Eau, Mont-Blanc",169639 sqft,225000,YES,"0,00","Residential, Resort",46.0901736500--74.4103581800,4 acres lot in La Forêt du Cerf sector at prestigious Domain Ogilvie. 4 km from highway 117. 8km from Mont Blanc ski station. Ancestral hard wood forest. Access to 11 km private hiking trail network groomed for cycling and skiing. Access to lake Rougeaud on the common beach of Domain Ogilvie (250 meters of shoreline). 2 tennis courts. Common driveway with other lots. A dream for nature lovers seeking a protected environment. High construction standards guarantee high property value in an exquisite environment. Domain Ogilvie is a 500 acre community created for nature lovers seeking the ultimate experience in country living.
27959454,Lot for sale,2023-06-20,Active,"Chemin du Renard, Saint-Adolphe-d'Howard",99346 sqft,69000,NO,"0,00",Residential,45.9463306700--74.3683433500,"Situé dans un Croissant au sommet de la montagne sur une rue 'CUL DE SAC' à 560 Mètres d'altitude. Magnifique terrain de Mountain Top Crescent, parfait pour construire une maison qui correspond à vos besoins. À seulement 1 heure au nord de Montréal, à  15 minutes de St-Sauveur et des pistes de ski environnantes. Idéal pour les amoureux de la vie en nature.   Terrain de plus de 2 acres. Accès notarié au lac Vingt Sous et à la plage.  Vue panoramique."
25871823,Lot for sale,2023-06-20,Active,"117, Avenue de Grand-Pré, Bonaventure",7380 sqft,43000,YES,"0,00","Commercial, Residential",48.0468565500--65.4897329500,Consult
18303856,Lot for sale,2023-06-20,Active,"Rue Chapados, Paspébiac",23576 sqft,85000,NO,"0,00",Residential,48.0309622800--65.2323939800,Terrain vacant en cour de subdivision. Avec vue sur la mer et accès à la plage municipale à pied. Près des services. Cette endroit est idéal pour y construire votre propriété ou résidence secondaire. À ne pas manquer.
16347281,Lot for sale,2023-06-20,Active,"Route de la Grande-Alliance, Baie-Sainte-Catherine",397434 sqft,160000,NO,"0,00",Residential,48.0766444800--69.7492543500,Terrain de 396 000 pieds carrés borné au Fleuve Saint-Laurent. Vue impressionnante sur le Fleuve et la baie. Tranquillité assurée et facilement accessible 4 saisons.
9754749,Lot for sale,2023-06-20,Active,"Rue Paul, Gatineau (Buckingham), Neighbourhood Buckingham East",15617 sqft,60000,NO,"0,00",Residential,45.5885000000--75.4073420000,"Situé au 0 rue Paul, Buckingham, Gatineau. 2 terrains à construire. Prêt de tous les services. Bien situé centre-ville."
25007521,Lot for sale,2023-06-20,Active,"Rue Bourmer, Bonaventure",33215 sqft,57500,YES,"0,00",Residential,48.0223632500--65.4678523000,Vaste terrain vague à proximité de la mer pour vous y construire votre maison de rêve. Emplacement paisible offrant un accès à la berge. Que ce soit pour investissement ou projet immédiat Bonaventure saura vous accueillir.
10558374,Lot for sale,2023-06-20,Active,"Montée Lafontaine, Montpellier",40468 sqft,60000,YES,"0,00","Commercial, Residential",45.8508583100--75.1944928100,Ce superbe terrain boisé de 40 468 pc avec hydro à proximité est facilement accessible et vous offre plusieurs possibilités selon le zonage. Vous désirez réaliser un projet de nature commerciale (voir l'addenda) ou y faire construire la maison de vos rêves? C'est l'endroit idéal. Il est situé à seulement 10 min des services et à 30 min de l'autoroute 50.
20222469,Lot for sale,2023-06-20,Active,"Rue du Cerf, Val-David",26287 sqft,60000,NO,"0,00",Residential,46.0532107700--74.2238143800,"Magnifique terrain boisé d'environ 26 000 pc situé dans le domaine privé de l'Écoparc du Cerf à Val David. Ce domaine est destiné à la construction de résidences bioclimatiques et à mettre de l'avant des mesures reliées au développement durable et à la protection des espaces naturels. Pour les aimants de la nature, ce vaste espace vert est muni d'un réseau de sentier pédestre et de pistes d'hébertisme. Situé à proximité de l'autoroute 15, de la 117 et de tous les services. Ce terrain est sujet à une déclaration de copropriété et il y a des frais annuels d'environ 850$. À voir!"
12561458,Lot for sale,2023-06-20,Active,"Chemin Parkview, Saint-Adolphe-d'Howard",24899 sqft,21000,NO,"0,00",Residential,45.9390820000--74.4110654900,"Residential land, near the village. no municipal services on the ground. Zonage H-065 SVP consulter le document attaché pour les details. Zoning H-065 , please consult Attached Documents for more details"
28068029,Lot for sale,2023-06-20,Active,"Chemin de la Cédrière, Rivière-Ouelle",33347 sqft,120000,YES,"0,00",Residential,47.4971527000--69.9925177600,"RIVIÈRE-OUELLE, CHEMIN DE LA CÉDRIÈRE. Magnifique terrain de 33 000pc, boisé. Situé dans un secteur en plein développement. Ne manquer pas votre chance! (5839)"
19155153,Lot for sale,2023-06-20,Active,"Route 132, Sainte-Thérèse-de-Gaspé",1271402 sqft,139500,NO,"0,00",Residential,48.4072251300--64.4292071400,Deux Beaux terrains dont un borné à la mer!!Prêt pour la construction! Service d'égout et aqueduc disponible!  D'une superficie totale de 1271400 pieds carré ou de 29 acre. A voir...
23310411,Land for sale,2023-06-20,Active,"750, Chemin de la Sauvagine, Mont-Blanc",9565645 sqft,10850000,NO,"0,00","Commercial, Residential, Resort",46.1017765400--74.5239155900,"Superb estate located in Mont-Blanc on a lot of more than 230 acres. On the majestic grounds there are mountains, hills, small streams and 4.5 km of walking trails. It's possible to create a direct access to Route 117. The airport has a 1550-foot grass runway + clearance as well as a hangar including a bistro, office and aircraft shed. There are many opportunities for development! More pictures to come."
26700243,Lot for sale,2023-06-20,Active,"Rue Émile-Hébert, Brownsburg-Chatham",123390 sqft,69000,YES,"0,00",Residential,45.6906935700--74.3995493900,"Large lot containing three lots with access to Lac Diane. Only 3 minutes from downtown Brownsburg-Chatham, 10 minutes from downtown Lachute and 10 minutes from Highway 50. Call us now!"
9886502,Lot for sale,2023-06-20,Active,"Chemin Gaétan, Sainte-Lucie-des-Laurentides",24999 sqft,8200,YES,"0,00",Residential,46.0917590600--74.1902614100,"*** TERRAIN ENCLAVÉ *** Doit être vendu avec # Centris: 24193592, 27375419. Prendre note que l'ACHETEUR sera responsable de s'assurer que le terrain est construisible, de faire ses propres vérifications auprès des autorités compétentes au sujet de la faisabilité de son projet, le tout à ses frais. Toute transaction devra se faire par l'entremise du notaire Me Annie Rousseau (St-Sauveur), le tout à la charge de l'ACHETEUR. Le vendeur ainsi que le courtier se déchargent de toutes responsabilités quant à l'exploitation possible du terrain vendu."
22662353,Lot for sale,2023-06-20,Active,"Rue de Montjay, Blainville, Neighbourhood East",9520 sqft,450000,YES,"0,00",Residential,45.6842857200--73.7989515500,"Bienvenue dans le prestigieux secteur de Chambéry, où les rêves deviennent réalité. Nous sommes fiers de vous présenter cette opportunité unique d'acheter un terrain prêt à construire, situé dans l'un des quartiers les plus recherchés du secteur. Un quartier écolo-chic qui propose des architectures contemporaine. Tous les services sont sous terrain(déja en place). Saisissez votre chance !"
28395855,Lot for sale,2023-06-20,Active,"475, boulevard Saint-Jean-Baptiste, Mercier",152217 sqft,3249000,YES,"0,00","Agricultural, Commercial, Residential",45.3275406300--73.7350307400,"À seulement 2 km de l'autoroute 30 et à 15 km de Montréal, dans une ville en expansion, un grand terrain commercial à moins de 22 $/pc pour un total d'environ 150 000 pc. Il vous offre la possibilité d'aménagements diversifiés (unifamiliale, commerce, usage mixte, usage multiple,). Actuellement raccordé aux services municipaux. 5 entrées Hydro-Québec déjà présentes, pour un total de 1200 ampères (lot 5821456).  Possibilité minimum de 200 000$ de revenu par année actuellement."
18316124,Lot for sale,2023-06-20,Active,"Place des Hauts-Bois, Lac-Delage",144645 sqft,475000,YES,"0,00",Residential,46.9726143000--71.3992347000,LAC-DELAGE! Vaste TERRAIN de 140 000 PC localisé au bout d'une rue sans issue et raccordé aux services municipaux(aqueduc et égouts). Secteur extrêmement convoité par les amants de plein air et de vélo de montagne (EMPIRE 47). Plusieurs possibilités- plan de lotissement disponible. Informez-vous!
20102683,Land for sale,2023-06-20,Active,"Route Transcanadienne, Grand-Remous",2077040 sqft,99000,NO,"0,00","Other, Commercial, Forest, Industrial, Recreational and tourism, Residential, Resort",46.6408577000--75.9480645000,"*Rareté sur le marché* Magnifique terrain de jeux de 47 acres! Excellent territoire de chasse bien aménagé au fil du temps. Forêt mixte en dominance feuillus. Une coupe sélective a été fait l'an passer, ce qui permets aux cervidés de se nourrir abondamment! De plus, les limites du terrain se connecte directement aux terres de là couronnes (territoires publics). Certificat de piquetage disponible. Le zonage vous permet plusieurs possibilités. Voir ADDENDA"
13228712,Lot for sale,2023-06-20,Active,"Chemin des Épicuriens, La Conception",21694 sqft,100000,YES,"0,00",Residential,46.1406871200--74.7088802000,"Lot #4 - Welcome to the Chic Shack project - Phase 1! Land development located in La Conception, privileged access to lake Martin, a unique place in the middle of nature, only 15 minutes from the ski slopes of Mont-Tremblant! Build your dream chalet in Chic Shack's signature refined style. A must see!"
13667746,Lot for sale,2023-06-20,Active,"Avenue Painchaud, La Pocatière",6278 sqft,76872,YES,"0,00",Residential,47.3779456400--70.0212738600,"Voici votre occasion de vous établir dans un quartier résidentiel tout à fait exceptionnel, du jamais vu dans la région! Nouveau développement incluant 2 parcs, un jardin communautaire, une garderie, une piscine extérieure et un golf virtuel intérieur... Imaginez vivre dans un tel secteur! Réservez votre terrain dès maintenant!"
